Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Ratio;RatioSD;Gen 0;Gen 1;Gen 2;Allocated
Comparison_FromCompareToOpen;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;295.81 ns;2.2349 ns;1.8662 ns;295.80 ns;0.52;0.01;-;-;-;-
IComparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;570.22 ns;6.6628 ns;6.2324 ns;568.19 ns;1.00;0.00;-;-;-;-
Comparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;405.85 ns;7.8728 ns;9.9566 ns;410.20 ns;0.71;0.02;-;-;-;-
TComparer_TComparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;95.74 ns;0.5370 ns;0.4761 ns;95.75 ns;0.17;0.00;-;-;-;-
TComparer_IComparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;541.17 ns;1.6367 ns;1.5310 ns;540.99 ns;0.95;0.01;-;-;-;-
TComparer_Comparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;550.60 ns;3.2782 ns;2.9060 ns;550.83 ns;0.97;0.01;-;-;-;-
TComparer_Comparable;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;573.29 ns;4.1964 ns;3.7200 ns;572.08 ns;1.01;0.01;-;-;-;-
Comparison_FromIComparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;436.85 ns;8.6082 ns;12.3457 ns;444.42 ns;0.76;0.02;-;-;-;-
Comparison_FromComparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;406.41 ns;3.9844 ns;3.7270 ns;406.53 ns;0.71;0.01;-;-;-;-
Comparison_CreateFromIComparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;647.24 ns;6.5523 ns;5.4715 ns;648.91 ns;1.13;0.02;0.0095;-;-;64 B
Comparison_CreateFromComparer;Default;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;599.03 ns;8.4911 ns;7.9426 ns;598.66 ns;1.05;0.02;0.0095;-;-;64 B
